"date","All School","Board of Education of the City of Chicago","Clark County School District (NV)","Los Angeles Unified School District (CA)","School District of Miami-Dade County","Houston Independent School District (TX)"
2021-10-01,166.887175181826,153.760730820683,179.658105179389,133.487591985408,193.209188204756,166.118967050964
2021-10-08,165.400044060195,155.87702599291,178.092989251014,131.642001470077,191.881597640167,164.127834811536
2021-10-15,163.2733594517,153.196257218064,175.977000251341,129.80102416732,188.376832812469,161.284202402964
2021-10-22,162.413234228211,154.003600656693,175.09058645773,128.232206857303,188.798103214387,160.613818046094
2021-10-29,163.563148246232,153.783703721334,175.748759797463,129.509327409793,190.245694889059,161.863146629353
2021-11-05,164.80710384215,155.874006901718,177.379635579962,130.359568806174,192.094070434009,160.965394662771
2021-11-12,165.401188665849,154.474970590375,178.418455888269,131.646611374946,191.865768342848,160.036969903036
2021-11-19,165.214377025699,150.447658114453,179.85394635539,132.285629821905,191.489286765006,158.308403389932
2021-11-26,166.062249276153,150.102587070345,181.685735392817,133.535271328144,192.207613006146,158.482829964911
2021-12-03,165.88458308533,148.32731523386,182.420971408845,133.945445887374,192.72540229506,157.429442154165
2021-12-10,165.312735578571,149.728160428349,182.04729721141,133.258932983639,192.805937762971,154.435107502705
2021-12-17,164.520188280901,147.430642010793,180.16587193893,133.115367736299,194.136797728713,152.605735929563
2021-12-27,163.355260269861,147.104437665348,178.083910476354,131.381821687403,194.90010019751,151.538857074551
2022-01-03,161.239355984701,147.505382776681,175.09298840113,127.73054623757,193.192511760789,151.899682502271
2022-01-10,157.574603517667,145.100056954262,171.077137413867,122.728167698939,188.402973104827,150.372458823271
2022-01-18,151.709824426951,142.163730946961,165.286392830227,114.550369918629,179.92261555263,146.618949937932
2022-01-24,146.71989245136,140.800720808636,160.314073349777,107.447560402055,171.815453883058,141.586726680735
2022-01-31,142.958744289074,143.075315977672,156.479522011238,101.762966023851,164.172911950136,137.055626137037
2022-02-07,139.73119525399,144.674571958702,153.573470346338,97.5523311904187,156.635968885862,131.219857251932
2022-02-14,138.101749338917,146.579800996809,151.400617476934,95.4025525033795,153.706474611871,127.598794894117
2022-02-22,135.924854477558,143.695206514744,149.112146896478,92.9102628621339,153.32272415146,125.31757229393
2022-02-28,134.819365659518,143.080081868592,147.144859452301,90.9093106267256,155.983669026285,124.381700581838
2022-03-07,129.182912084673,137.176628884264,142.178456510156,83.8207643865974,150.815456695768,118.58673554179
2022-03-14,122.822707887522,134.001734659972,135.465011910637,74.9652509291703,143.855684697892,111.781709749587
2022-03-21,116.43769048805,129.976406416875,128.426163118113,67.2982574370584,136.030013297822,104.063002981226
2022-03-28,113.917694395345,143.274783393801,124.044588830523,63.762950684442,133.128994434721,99.9162453043991
2022-04-04,108.943484355505,138.067147071286,119.100837894601,58.6433183885078,126.433499612592,92.659864241343
2022-04-11,103.191809931589,135.116856978515,113.638194434849,50.918945310014,118.343534673938,85.6892418221308
2022-04-18,96.1060828122513,116.730442555428,106.858473932161,42.5091418362185,111.005667287781,79.6771639107712
2022-04-25,90.6143151946021,117.446606672143,100.624459109093,35.1972488401325,106.249444476162,73.2189770390928
2022-05-02,87.014766507909,117.470464764202,96.0736465849091,30.91461173464,106.152643881545,69.7552343067972
2022-05-09,82.502708463274,114.369970310897,91.8923787335919,25.8903749349204,100.987256254488,64.3905154593948
2022-05-16,83.4414292305013,113.519902594971,93.3186153013922,27.6307500534854,103.626061461703,66.035003385128
2022-05-23,90.2876962512158,116.090325241079,100.071553106673,37.6248105019266,112.028967556245,72.3626187965796
2022-05-31,98.1335015271261,121.345642469508,107.943611279772,48.1882255390488,124.344376144388,80.2576557026886
2022-06-06,97.1053546466928,120.59542921201,106.288219759511,47.6470016638216,121.090251597157,80.4858907117741
2022-06-13,91.6606450612319,118.321068489157,100.074634922887,40.9730343131157,114.283948977065,74.4218475289984
2022-06-21,88.2777736478992,117.037058752694,95.1753004741691,36.7723532506309,110.06415985979,72.0164225272184
2022-06-27,92.1380559214969,119.543453428174,99.6846705700479,41.1779694111037,116.789815239603,76.2321063163208
2022-07-05,96.5889571153162,120.035966174711,104.470085340898,46.286623886003,122.18184157441,85.7256179028708
2022-07-11,99.4712187529666,119.964534795405,108.572590790748,49.8013527872193,125.157874922877,89.2325944934088
2022-07-18,101.874508048017,120.610618742446,111.388122213676,52.9831082555503,129.505096655935,90.9578821659872
2022-07-25,105.159477972167,123.109213445298,115.560779006508,58.0235376750588,132.484090348562,91.2409163521621
2022-08-01,107.967647994655,124.578581567423,117.819924943451,62.8882980315169,137.797668036295,92.1380567039172
2022-08-08,107.778414125706,124.635555210554,117.412909152444,64.2641967558806,137.418998874006,88.1482585854753
2022-08-15,102.876611309306,123.216765516224,111.671765157743,58.6451013133037,131.400150142984,80.2877906899018
2022-08-22,97.7609836667341,121.79806725649,106.386011975034,51.3552433544641,121.760375187077,76.624842659365
2022-08-29,92.8025869529657,118.92191908247,100.30726518661,44.6871445787548,113.747549018731,75.0721747131546
2022-09-06,88.6685521761164,115.468073316406,97.2895053551997,39.6443086483528,108.481372306073,70.06827575798
2022-09-12,83.0284267040749,112.575072684485,91.5486344215317,33.4526507846819,101.770610343559,59.8126382048863
2022-09-19,75.4449017194708,110.413249604664,83.615187002149,23.9623517671939,89.4190746258649,49.4568347153458
2022-09-26,70.6921377381909,109.854220925168,77.9715911385221,18.1766519788019,78.6222308746735,44.3631483940049
