date,All City,Chicago,Cincinnati,Columbus,Dallas,Houston,Las Vegas,Mesa,New York City,Philadelphia,Raleigh,Wichita,Arlington,Charlotte,Boston,Corpus Christi,El Paso,Kansas City,Memphis,Milwaukee,Phoenix,Portland,San Antonio,San Francisco,Seattle,Virginia Beach,Fort Worth,Oklahoma City,Omaha,Pittsburgh,New Orleans,Tucson,Albuquerque
13-05-2024,89.80779439,118.0279531,93.71035455,91.72164582,107.4547781,59.64776156,111.718081,105.5173419,74.63088272,77.36438732,108.9084848,125.0682966,87.75046385,63.08302715,76.3126209,126.1348017,83.10933422,73.63709866,49.72616702,96.95939688,72.72017855,86.97440003,83.97495388,43.32600943,75.38287342,99.79838012,80.60155433,83.18160273,88.4173873,112.8319696,102.721901,127.7295509,116.1570896
20-05-2024,85.8928873,117.5724216,88.71923169,85.23862208,104.2361561,56.84739162,108.2113166,101.9444266,70.29940384,74.65245205,105.0785437,121.095009,84.67328721,56.58470479,70.90159594,119.8893021,80.07134448,67.72265171,47.15876507,90.86853188,69.75719217,82.31282053,77.80933621,34.61851415,72.97475052,95.17574901,78.66842179,77.7551818,85.00489017,106.333553,101.3795531,122.3968874,110.6965597
28-05-2024,83.88799648,117.6188129,86.57596549,83.58277184,102.1784903,55.33182296,104.0357251,101.0325127,68.35382139,73.21082297,103.1929672,117.1052513,83.22851175,50.26824385,66.51828334,115.0162727,78.3115298,64.25624721,44.9720812,84.26115324,67.25888408,81.46888211,73.31953875,28.44080899,71.03086069,95.16947841,77.64104318,74.74021221,81.78796284,101.6038737,100.9091036,117.9156921,106.4726701
03-06-2024,84.78138965,117.8039602,87.20023667,85.8442655,102.5431396,55.56547454,104.8218556,100.0272725,69.06246163,73.79974541,103.3319573,117.0666145,83.61525179,50.47689662,66.96010561,116.5202398,79.18280815,64.86138572,46.37349148,84.63254536,66.13176812,84.52839328,75.0652514,32.96546245,71.60513174,95.20969871,78.4043319,75.14811658,81.53830294,103.9491173,99.63930167,118.6767544,102.1261025
10-06-2024,87.45120092,118.4561395,89.22923683,90.57251743,105.0509094,58.62321218,104.0224269,101.6692477,71.33659915,77.12851503,108.5893573,117.8524117,86.9334908,53.37439991,70.89656593,123.1760385,81.93263078,70.41666084,49.60413448,89.03890063,67.87155402,90.36563493,81.32494947,34.27081591,73.84809052,98.27284545,81.00151393,79.03860418,84.00426466,109.3745172,97.25475703,124.2534807,104.6887118
17-06-2024,88.52199603,118.5446009,89.38009574,92.31769748,106.5454949,60.19642777,105.1677184,102.7669544,71.37945316,78.5458041,112.4287322,119.4866228,88.73313471,57.10492534,73.71506014,128.9049458,83.22110152,71.90988671,52.03990337,93.95717061,67.40600771,92.05497138,85.31198485,33.31882704,75.81669681,98.82735656,82.05447517,80.98130076,85.50959534,114.9172558,96.9286206,127.5196888,110.8534115
24-06-2024,88.08387723,117.2670013,89.7111391,92.93945859,107.044236,61.42347597,104.5374876,104.222808,69.5935093,78.29020268,114.1544783,121.1753537,89.58379984,56.68778727,74.45234857,130.600644,83.26476833,72.43167126,54.46994017,96.28142608,67.49122229,91.03771928,86.45569501,30.48381289,76.87674285,99.66050498,82.60046536,83.12681382,87.0026027,117.1258884,98.24451905,127.0180175,113.1191272
01-07-2024,89.67310232,117.2603376,91.55109539,92.95310923,107.04822,62.92864061,106.4896555,106.6619813,73.91469009,78.56410515,105.9048989,123.3043322,90.38527138,54.5496555,76.29732236,131.2676488,83.53412225,72.79232053,56.62369207,98.71358195,66.55872038,90.74654815,87.87539883,33.28833731,77.6751217,101.9409732,83.03118828,86.14341616,90.39526462,116.6645716,100.8487854,117.6900893,115.0798692
08-07-2024,92.37746639,116.0391982,93.83838534,94.30792301,108.2300922,65.12093211,108.138321,107.5832167,79.64786879,80.60499263,100.9538544,125.4559957,92.25546213,57.18747932,78.3247483,132.2891768,85.23825081,75.54520299,57.66058095,103.0738832,68.42555524,92.49867609,92.05646166,40.21085099,79.52589188,103.4083729,85.29586443,88.4052761,93.60890685,117.1423353,101.2395784,118.1632695,115.0106716
15-07-2024,94.51203288,116.9810895,96.59745291,96.44932589,109.50255,66.62610766,110.3015651,108.4149435,82.67203814,82.73995233,88.14876509,128.4311031,94.3046493,60.15846455,80.30606441,134.2023086,86.79808068,77.66537455,63.28518187,107.4594532,69.29511953,93.70395006,96.60599221,44.46576321,81.61596005,105.6514098,86.68628696,87.72487876,96.47727078,118.5936164,101.5731873,125.1298523,119.0638247
